,name,rating,cuisine,location,region,cost_per_person,discount
0,Chin Lung Resto Bar,4.6,Multicuisine,['Residency Road'],['Central Bengaluru'],2000,25
1,Chin Lung Resto Bar,4.6,Multicuisine,['Residency Road'],['Central Bengaluru'],2000,25
2,"Atlantis - Brewpub, Cocktails & Kitchen",4.2,Multicuisine,['HSR'],['South Bengaluru'],2000,25
3,"Atlantis - Brewpub, Cocktails & Kitchen",4.2,Multicuisine,['HSR'],['South Bengaluru'],2000,25
4,Chin Lung Brewery - Indiranagar,4.6,Multicuisine,['Indiranagar'],['East Bengaluru'],2000,25
5,Chin Lung Brewery - Indiranagar,4.6,Multicuisine,['Indiranagar'],['East Bengaluru'],2000,25
6,Helen's Place,4.4,Multicuisine,['Marathahalli'],['East Bengaluru'],1500,25
7,Helen's Place,4.4,Multicuisine,['Marathahalli'],['East Bengaluru'],1500,25
8,BLR Brewing Co.,4.3,"Cocktail Menu, Finger Food",['Kanakapura Road'],['South Bengaluru'],2000,25
9,BLR Brewing Co.,4.3,"Cocktail Menu, Finger Food",['Kanakapura Road'],['South Bengaluru'],2000,25
10,Daddy,4.1,"Cocktail Menu, Pan Asian",['12th main'],['East Bengaluru'],2000,25
11,Daddy,4.1,"Cocktail Menu, Pan Asian",['12th main'],['East Bengaluru'],2000,25
12,Jollygunj,4.2,Indian,['JP Nagar'],['South Bengaluru'],1800,25
13,Jollygunj,4.2,Indian,['JP Nagar'],['South Bengaluru'],1800,25
14,Yuki - Pan Asian Kitchen and Bar,4.5,Pan Asian,['JP Nagar'],['South Bengaluru'],2000,25
15,Yuki - Pan Asian Kitchen and Bar,4.5,Pan Asian,['JP Nagar'],['South Bengaluru'],2000,25
16,46 Ounces Brewgarden,4.7,"Multicuisine, Cocktail Menu",['Electronic City'],['South Bengaluru'],2000,25
17,46 Ounces Brewgarden,4.7,"Multicuisine, Cocktail Menu",['Electronic City'],['South Bengaluru'],2000,25
18,The Reservoire Cocktail Bar & Kitchen,4.6,Multicuisine,['12th main'],['East Bengaluru'],2000,25
19,The Reservoire Cocktail Bar & Kitchen,4.6,Multicuisine,['12th main'],['East Bengaluru'],2000,25
20,Nusa - Tropical Brewvilla,4.1,Multicuisine,['Gunjur Village'],[],2000,25
21,Nusa - Tropical Brewvilla,4.1,Multicuisine,['Gunjur Village'],[],2000,25
22,The Founders Brewery,4.7,"Chinese, North Indian",['New BEL Road'],['North Bengaluru'],2000,25
23,The Founders Brewery,4.7,"Chinese, North Indian",['New BEL Road'],['North Bengaluru'],2000,25
24,Oia,4.2,Multicuisine,['Hennur'],['North Bengaluru'],2000,25
25,Oia,4.2,Multicuisine,['Hennur'],['North Bengaluru'],2000,25
26,Subz,4.5,Multicuisine,['Jayanagar'],['South Bengaluru'],2000,25
27,Subz,4.5,Multicuisine,['Jayanagar'],['South Bengaluru'],2000,25
28,Chairman's Restobar,4.6,Multicuisine,['Chikkabanavara'],['North Bengaluru'],2000,25
29,Chairman's Restobar,4.6,Multicuisine,['Chikkabanavara'],['North Bengaluru'],2000,25
30,Savera Lassi Shop,4.7,"Beverages, Ice Cream",['Shivajinagar'],['Central Bengaluru'],2000,10
31,Savera Lassi Shop,4.7,"Beverages, Ice Cream",['Shivajinagar'],['Central Bengaluru'],2000,10
32,Masha Allah Hot And Cool Point,4.0,Fast Food,['Shivajinagar'],['Central Bengaluru'],2000,10
33,Masha Allah Hot And Cool Point,4.0,Fast Food,['Shivajinagar'],['Central Bengaluru'],2000,10
34,Tipsy Cafe,4.0,Fast Food,['Shivajinagar'],['Central Bengaluru'],2000,10
35,Tipsy Cafe,4.0,Fast Food,['Shivajinagar'],['Central Bengaluru'],2000,10
36,Shahi Restaurant,3.0,Multicuisine,['Shivajinagar'],['Central Bengaluru'],2000,10
37,Shahi Restaurant,3.0,Multicuisine,['Shivajinagar'],['Central Bengaluru'],2000,10
38,Maggi Baba,5.0,Beverages,['Shivajinagar'],['Central Bengaluru'],2000,25
39,Maggi Baba,5.0,Beverages,['Shivajinagar'],['Central Bengaluru'],2000,25
40,Romeo Cafe,4.0,Multicuisine,['Shivajinagar'],['Central Bengaluru'],2000,25
41,Romeo Cafe,4.0,Multicuisine,['Shivajinagar'],['Central Bengaluru'],2000,25
42,Tiamo,4.4,"Italian, Mediterranean",[],[],3000,15
43,Tiamo,4.4,"Italian, Mediterranean",[],[],3000,15
44,Trippy Goat Cafe,4.3,"Coffee and Tea, European",['Vasanth Nagar'],['Central Bengaluru'],2000,10
45,Trippy Goat Cafe,4.3,"Coffee and Tea, European",['Vasanth Nagar'],['Central Bengaluru'],2000,10
